LAT	IT	DE	FR	ES	PT	EN
Falco sparverius [sparverius Group]	Gheppio americano	Buntfalke	Crécerelle d'Amérique [sparverius]	Cernícalo Americano	Quiriquiri	American Kestrel (Northern)
Falco sparverius [cinnamominus Group]			Crécerelle d'Amérique [cinnamominus]	Halconcito Común		American Kestrel (South American)
Falco vespertinus	Falco cuculo	Rotfußfalke	Faucon kobez	Cernícalo Patirrojo	Falcão-de-pés-vermelhos	Red-footed Falcon
Falco amurensis	Falco dell'Amur	Amurfalke	Faucon de l'Amour	Cernícalo del Amur	Falcão-de-pés-vermelhos-oriental	Amur Falcon
Falco vespertinus/amurensis	Falco cuculo	Rotfussfalke	Faucon kobez	Cernícalo Patirrojo	Falcão-de-pés-vermelhos	Red-footed/Amur Falcon
Falco eleonorae	Falco della Regina	Eleonorenfalke	Faucon d'Éléonore	Halcón de Eleonora	Falcão-da-rainha	Eleonora's Falcon
Falco concolor	Falco unicolore	Schieferfalke	Faucon concolore	Halcón Pizarroso	Falcao sombrio	Sooty Falcon
Falco columbarius	Smeriglio	Merlin	Faucon émerillon	Esmerejón	Esmerilhão	Merlin
Falco columbarius [aesalon Group]	Smeriglio	Merlin-aesalon	Faucon émerillon [aesalon]			Merlin (Eurasian)
Falco columbarius pallidus	Smeriglio	Merlin-pallidus	Faucon émerillon (pâle)			Merlin (Pallid)
Falco columbarius columbarius			Faucon émerillon (taïga)			Merlin (Taiga)
Falco subbuteo	Lodolaio	Baumfalke	Faucon hobereau	Alcotán Europeo	Ógea	Eurasian Hobby
Falco biarmicus	Lanario	Lannerfalke	Faucon lanier	Halcón Borní	Alfaneque	Lanner Falcon
Falco cherrug	Sacro	Würgfalke	Faucon sacre	Halcón Sacre	Falcão-sacre	Saker Falcon
Falco rusticolus	Girfalco	Gerfalke	Faucon gerfaut	Halcón Gerifalte	Falcão-gerifalte	Gyrfalcon
Falco peregrinus	Falco pellegrino	Wanderfalke	Faucon pèlerin	Halcón Peregrino	falcão-peregrino	Peregrine Falcon
Falco peregrinus calidus/tundrius			Faucon pèlerin [tundrius ou calidus]	Halcón Peregrino del Norte		Peregrine Falcon (Tundra)
Falco peregrinus [peregrinus Group]			Faucon pèlerin [peregrinus, japonensis or furuitii]			Peregrine Falcon (Eurasian)
Falco peregrinus brookei	Pellegrino	Wanderfalke-brookei	Faucon pèlerin (Méditérannée)			Peregrine Falcon (Mediterranean)
Falco peregrinus pelegrinoides	Falcone della Barberia		Faucon de Barbarie (nominal)			Peregrine Falcon (Barbary)
Falco sp. (large falcon sp.)			Gros Faucon sp.			large falcon sp.
Falco sp. (small falcon sp.)			Petit Faucon sp.			small falcon sp.
Falco sp.			Falco sp.			falcon sp.
Accipitriformes/Falconiformes sp.			Rapace diurne sp.			diurnal raptor sp.
Nymphicus hollandicus	Cacatua ninfa	Nymphensittich	Calopsitte élégante	Cacatúa Ninfa	Cocatiel	Cockatiel
Psittacula eupatria	Parrocchetto di Alessandro	Großer Alexandersittich	Perruche alexandre	Cotorra Alejandrina	Periquito-grande-alexandre	Alexandrine Parakeet
Psittacula krameri	Parrocchetto dal collare	Halsbandsittich	Perruche à collier	Cotorra de Kramer	Periquito-de-colar	Rose-ringed Parakeet
Psittacula eupatria/krameri			Perruche alexandre ou P. à collier			Alexandrine/Rose-ringed Parakeet
Psittacula sp.			Psittacula sp.			Psittacula sp.
Agapornis roseicollis	Inseparabile facciarosa	Rosenköpfchen	Inséparable rosegorge	Inseparable de Namibia	Inseparável-de-faces-rosadas	Rosy-faced Lovebird
Agapornis sp.			Agapornis sp.			lovebird sp.
Myiopsitta monachus	Parrocchetto monaco	Mönchsittich	Perriche veuve	Cata Aliazul	Caturrita	Monk Parakeet
Myiopsitta monachus [monachus Group]	Parrocchetto monaco	Mönchssittich	Perriche veuve	Cotorra Argentina	Caturrita	Monk Parakeet (Monk)
Amazona sp.			Amazona sp.			Amazona sp.
Cyanoliseus patagonus	Parrocchetto delle tane	Felsensittich	Conure de Patagonie	Loro Barranquero	Periquito-das-barreiras	Burrowing Parakeet
Aratinga nenday	Aratinga nanday	Nandaysittich	Conure nanday	Aratinga Ñanday 	periquito-de-cabeça-preta	Nanday Parakeet
Thectocercus acuticaudatus	Aratinga testablù	Spitzschwanzsittich	Conure à tête bleue	Aratinga Cabeciazul	Periquito-de-cabeça-azul	Blue-crowned Parakeet
Psittacara erythrogenys	Aratinga testarossa	Guayaquilsittich	Conure à tête rouge	Aratinga de Guayaquil	Periquito-de-cabeça-vermelha	Red-masked Parakeet
Psittacara mitratus/erythrogenys			Conure mitrée ou C. à tête rouge			Mitred/Red-masked Parakeet
Eupsittula/Aratinga/Thectocercus/Psittacara sp.			Eupsittula, Aratinga, Thectocercus ou Psittacara sp.			large parakeet sp. (former Aratinga sp.)
Psittaciformes sp. (parakeet sp.)			Perruche sp.			parakeet sp.
Psittaciformes sp. (parrot sp.)			Perroquet sp.			parrot sp.
Contopus virens	Piuì boschereccio orientale	Östlicher Waldschnäppertyrann	Pioui de l'Est	Pibí Oriental	Piuí-verdadeiro	Eastern Wood-Pewee
Empidonax alnorum	Tiranno degli ontani	Erlenschnäppertyrann	Moucherolle des aulnes	Mosquero Alisero	Papa-moscas-dos-amieiros	Alder Flycatcher
Empidonax alnorum/traillii	Pigliamosche degli ontani	Erlenschnäppertyrann	Moucherolle de Traill	Mosquero Alisero	maria-fibiu	Alder/Willow Flycatcher (Traill's Flycatcher)
Tyrannus verticalis	Re dei tiranni occidentale	Arkansaskönigstyrann	Tyran de l'Ouest	Tirano Occidental	Suiriri-ocidental	Western Kingbird
Tyrannus savana	Tiranno codaforcuta meridionale	Gabelschwanz-Königstyrann	Tyran des savanes	Tijereta Sabanera	Tesourinha-do-campo	Fork-tailed Flycatcher
Vireo griseus	Vireo occhibianchi	Weißaugenvireo	Viréo aux yeux blancs	Vireo Ojiblanco	Víreo-d'olho-branco	White-eyed Vireo
Vireo griseus [griseus Group]		Weißaugenvireo	Viréo aux yeux blancs [griseus]	Vireo de Ojos Blancos		White-eyed Vireo (White-eyed)
Vireo flavifrons	Vireo frontegialla	Gelbkehlvireo	Viréo à gorge jaune	Vireo Gorjiamarillo	Juruviara-de-garganta-amarela	Yellow-throated Vireo
Vireo philadelphicus	Vireo di Filadelfia	Schlichtvireo	Viréo de Philadelphie	Vireo de Filadelfia	Juruviara de Filadélfia	Philadelphia Vireo
Vireo olivaceus	Vireo occhirossi	Rotaugenvireo	Viréo aux yeux rouges	Vireo Chiví	Juruviara	Red-eyed Vireo
Vireo olivaceus/chivi	Vireo occhirossi	Rotaugenvireo	Viréo aux yeux rouges	Vireo Chiví	Juruviara	Red-eyed/Chivi Vireo
Oriolus oriolus	Rigogolo	Pirol	Loriot d'Europe	Oropéndola Europea	Papa-figos	Eurasian Golden Oriole
Oriolus oriolus/kundoo	Rigogolo	Pirol	Loriot d'Europe	Oropéndola Dorada Europea	Papa-figos	Eurasian/Indian Golden Oriole
Lanius collurio	Averla piccola	Neuntöter	Pie-grièche écorcheur	Alcaudón Dorsirrojo	Picanço-de-dorso-ruivo	Red-backed Shrike
Lanius phoenicuroides	Averla codirossa	Neuntöter-phoenicuroides	Pie-grièche du Turkestan	Alcaudón colirrojo		Red-tailed Shrike
Lanius isabellinus	Averla isabellina	Isabellwürger	Pie-grièche isabelle	Alcaudón Isabel	Picanço-isabel	Isabelline Shrike
Lanius isabellinus isabellinus	Averla isabellina	Isabellwürger	Pie-grièche isabelle	Oropéndola	Picanço-isabel	Isabelline Shrike (Daurian)
Lanius phoenicuroides/isabellinus	Averla isabellina	Isabellwürger	Pie-grièche isabelle	Alcaudón Isabel	Picanço-isabel	Red-tailed/Isabelline Shrike
Lanius cristatus	Averla bruna	Braunwürger	Pie-grièche brune	Alcaudón Pardo	Picanço-castanho	Brown Shrike
Lanius cristatus cristatus/confusus		Rotschwanzwürger-cristatus	Pie-grièche brune [cristatus ou confusus]			Brown Shrike (Brown)
Lanius schach	Averla dorsorossiccio	Schachwürger	Pie-grièche schach	Alcaudón Schach	*Picanço-rabilongo	Long-tailed Shrike
Lanius schach erythronotus/caniceps	Averla dorsorossiccio indiana	Indischer Schachwürger	Pie-grièche schach [erythronotus ou caniceps]			Long-tailed Shrike (erythronotus/caniceps)
Lanius borealis	Averla settentrionale	Taigaraubwürger	Pie-grièche boréale	Alcaudón boreal		Northern Shrike
Lanius borealis [mollis Group]		Raubwürger-mollis	Pie-grièche boréale [mollis, sibiricus, bianchi, funereus]			Northern Shrike (Asian)
Lanius borealis borealis			Pie-grièche boréale (Amérique)			Northern Shrike (American)
Lanius meridionalis	Averla meridionale	Iberienraubwürger	Pie-grièche méridionale	Alcaudón real	picanço-real	Iberian Gray Shrike
Lanius excubitor	Averla maggiore	Raubwürger	Pie-grièche grise	Alcaudón Norteño	Picanço-grande	Great Gray Shrike
Lanius excubitor [excubitor Group]	Averla maggiore	Raubwürger	Pie-grièche grise	Alcaudón Norteño	Picanço-grande	Great Gray Shrike (Great Gray)
Lanius excubitor [elegans Group]			Pie-grièche méridionale [elegans, koenigi, algeriensis or leucopygos]			Great Gray Shrike (Sahara)
Lanius excubitor pallidirostris	Averla beccopallido	Steppenraubwürger	Pie-grièche des steppes			Great Gray Shrike (Steppe)
Lanius borealis/excubitor	Averla maggiore	Raubwürger	Pie-grièche grise	Alcaudón Norteño	Picanço-grande	Northern/Great Gray Shrike
Lanius meridionalis/excubitor			Pie-grièche grise ou P.-g. méridionale			Iberian Gray/Great Gray Shrike
Lanius minor	Averla cenerina	Schwarzstirnwürger	Pie-grièche à poitrine rose	Alcaudón Chico	Picanço-pequeno	Lesser Gray Shrike
Lanius nubicus	Averla mascherata	Maskenwürger	Pie-grièche masquée	Alcaudón Núbico	Picanço-núbio	Masked Shrike
Lanius senator	Averla capirossa	Rotkopfwürger	Pie-grièche à tête rousse	Alcaudón Común	Picanço-barreteiro	Woodchat Shrike
Lanius senator senator		Rotkopfwürger-senator	Pie-grièche à tête rousse [senator ou rutilans]			Woodchat Shrike (Western)
Lanius senator badius		Rotkopfwürger-badius	Pie-grièche à tête rousse (badius)			Woodchat Shrike (Balearic)
Lanius senator niloticus		Rotkopfwürger-niloticus	Pie-grièche à tête rousse (niloticus)			Woodchat Shrike (Caucasian)
Lanius collurio x senator			Hybride Pie-grièche écorcheur x P. à tête rousse			Red-backed x Woodchat Shrike (hybrid)
Lanius sp.			Lanius sp.			shrike sp.
Perisoreus infaustus	Ghiandaia siberiana	Unglückshäher	Mésangeai imitateur	Arrendajo Siberiano	Gaio-siberiano	Siberian Jay
Garrulus glandarius	Ghiandaia	Eichelhäher	Geai des chênes	Arrendajo Euroasiático	Gaio-comum	Eurasian Jay
Garrulus glandarius [glandarius Group]		Eichelhäher-glandarius	Geai des chênes [glandarius]			Eurasian Jay (Eurasian)
Garrulus glandarius [atricapillus Group]		Eichelhäher-atricapillus	Geai des chênes [atricapillus]			Eurasian Jay (Black-capped)
Garrulus glandarius [cervicalis Group]		Eichelhäher-cervicalis	Geai des chênes [cervicalis, minor, whitakeri]			Eurasian Jay (Black-crowned)
Garrulus glandarius [brandtii Group]		Eichelhäher-brandtii	Geai des chênes [brandtii]			Eurasian Jay (Brandt's)
Corvidae sp. (jay sp.)			Geai sp.			jay sp.
Cyanopica cooki	Gazza aliazzurre iberica	Blauelster	Pie-bleue ibérique	Rabilargo Ibérico	Pega-azul	Iberian Magpie
Pica pica	Gazza americana	Elster	Pie bavarde	Urraca común	Pega-rabuda	Eurasian Magpie
Pica pica melanotos		Elster-melanotos	Pie bavarde (melanotos)			Eurasian Magpie (Iberian)
Pica pica [pica Group]	Gazza	Elster	Pie bavarde	Urraca Común	pega	Eurasian Magpie (Eurasian)
Pica serica/pica	Gazza comune europea	Elster	Pie bavarde	Urraca Común	pega	Oriental/Eurasian Magpie
Nucifraga caryocatactes	Nocciolaia	Tannenhäher	Cassenoix moucheté	Cascanueces Común	Quebra-nozes	Eurasian Nutcracker
Nucifraga caryocatactes [caryocatactes Group]		Tannenhäher	Cassenoix moucheté	Cascanueces norteño		Eurasian Nutcracker (Northern)
Pyrrhocorax pyrrhocorax	Gracchio corallino	Alpenkrähe	Crave à bec rouge	Chova Piquirroja	Gralha-de-bico-vermelho	Red-billed Chough
Pyrrhocorax pyrrhocorax [pyrrhocorax Group]		Alpenkrähe-pyrrhocorax	Crave à bec rouge [pyrrhocorax]			Red-billed Chough (Red-billed)
Pyrrhocorax graculus	Gracchio alpino	Alpendohle	Chocard à bec jaune	Chova Piquigualda	Gralha-de-bico-amarelo	Yellow-billed Chough
Pyrrhocorax pyrrhocorax/graculus			Crave à bec rouge ou Chocard à bec jaune			Red-billed/Yellow-billed Chough
Corvus monedula	Taccola	Dohle	Choucas des tours	Grajilla Occidental	Gralha-de-nuca-cinzenta	Eurasian Jackdaw
Corvus dauuricus	Taccola della Dauria	Elsterdohle	Choucas de Daourie	Grajilla Oriental	Gralha-dáurica	Daurian Jackdaw
Corvus splendens	Cornacchia delle case	Glanzkrähe	Corbeau familier	Cuervo Indio	Gralha-indiana	House Crow
Corvus frugilegus	Corvo comune	Saatkrähe	Corbeau freux	Graja	Gralha-calva	Rook
Corvus corone	Cornacchia nera	Rabenkrähe	Corneille noire	Corneja Negra	Gralha-preta	Carrion Crow
Corvus cornix	Cornacchia grigia	Nebelkrähe	Corneille mantelée	Corneja Cenicienta	Gralha-cinzenta	Hooded Crow
Corvus cornix [cornix Group]	Cornacchia grigia	Nebelkrähe	Corneille mantelée	Corneja cenicienta	Gralha-cinzenta	Hooded Crow (Hooded)
Corvus corone x cornix			Hybride Corneille noire x C. mantelée			Carrion x Hooded Crow (hybrid)
Corvus corone/cornix	Cornacchia nera	Aaskrähe	Corneille noire	Corneja Cenicienta	Gralha-preta	Carrion/Hooded Crow
Corvus sp. (crow sp.)			Corneille sp.			crow sp.
Corvus ruficollis	Corvo collobruno	Wüstenrabe	Corbeau brun	Cuervo Desertícola	Corvo-do-deserto	Brown-necked Raven
Corvus rhipidurus	Corvo coda a ventaglio	Borstenrabe	Corbeau à queue courte	Cuervo Colicorto	Corvo-de-cauda-curta	Fan-tailed Raven
Corvus corax	Corvo imperiale	Kolkrabe	Grand Corbeau	Cuervo Grande	Corvo	Common Raven
Corvus sp. (raven sp.)			Corbeau sp.			raven sp.
Corvus sp.			Corvus sp.			crow/raven sp.
Periparus ater	Cincia mora	Tannenmeise	Mésange noire	Carbonero Garrapinos	Chapim-preto	Coal Tit
Periparus ater britannicus/hibernicus	Cincia mora della Gran Bretagna	Grossbritanien Tannenmeise	Mésange noire [britannicus ou hibernicus]			Coal Tit (British)
Periparus ater [ater Group]		Tannenmeise-ater	Mésange noire [ater]			Coal Tit (Continental)
Periparus ater [phaeonotus Group]		Tannenmeise-phaeonotus	Mésange noire [phaeonotus]			Coal Tit (Caucasus)
Lophophanes cristatus	Cincia dal ciuffo	Haubenmeise	Mésange huppée	Herrerillo Capuchino	Chapim-de-poupa	Crested Tit
Poecile lugubris	Cincia dalmatina	Balkanmeise	Mésange lugubre	Carbonero Lúgubre	chapim-sombrio	Sombre Tit
Poecile palustris	Cincia bigia	Sumpfmeise	Mésange nonnette	Carbonero Palustre	Chapim-palustre	Marsh Tit
Poecile montanus	Cincia alpestre	Weidenmeise	Mésange boréale	Carbonero Montano	chapim-montês	Willow Tit
Poecile montanus [montanus Group]	Cincia bigia alpestre	Weidenmeise	Mésange boréale	Carbonero Montano	Chapim-sibilino	Willow Tit (Willow)
Poecile palustris/montanus			Mésange nonnette ou M. boréale			Marsh/Willow Tit
Poecile cinctus	Cincia siberiana	Lapplandmeise	Mésange lapone	Carbonero Lapón	Chapim da Lapónia	Gray-headed Chickadee
Poecile montanus x cinctus			Hybride Mésange boréale x M. lapone			Willow Tit x Gray-headed Chickadee (hybrid)
Poecile sp.			Poecile sp.			chickadee sp.
Cyanistes caeruleus	Cinciarella	Blaumeise	Mésange bleue	Herrerillo Común	Chapim-azul	Eurasian Blue Tit
Cyanistes teneriffae	Cinciarella algerina	Kanarenmeise	Mésange nord-africaine	Herrerillo Canario		African Blue Tit
Cyanistes cyanus	Cinciarella azzurra	Lasurmeise	Mésange azurée	Herrerillo Azul	Chapim-de-cabeça-branca	Azure Tit
Cyanistes cyanus [cyanus Group]	Cinciarella azzurra	Lasurmeise	Mésange azurée	Herrerillo Azul	Chapim-de-cabeça-branca	Azure Tit (Azure)
Cyanistes caeruleus x cyanus			Hybride Mésange bleue x M. azurée			Eurasian Blue x Azure Tit (hybrid)
Parus major	Cinciallegra	Kohlmeise	Mésange charbonnière	Carbonero Común	chapim-real	Great Tit
Parus major [major Group]	Cinciallegra	Kohlmeise	Mésange charbonnière	Herrerillo ciáneo	Chapim-real	Great Tit (Great)
Parus sp.			Parus sp.			Parus sp.
Paridae sp.			Paridé sp.			Parid sp.
Remiz pendulinus	Pendolino	Beutelmeise	Rémiz penduline	Pájaro-moscón Europeo	Chapim-de-faces-pretas	Eurasian Penduline-Tit
Alaemon alaudipes	Allodola beccocurvo	Wüstenläuferlerche	Sirli du désert	Alondra Ibis	Calhandra-de-bico-curvo	Greater Hoopoe-Lark
Ramphocoris clotbey	Allodola beccoforte	Knackerlerche	Alouette de Clot-Bey	Calandria Picogorda	Calhandra-de-bico-grosso	Thick-billed Lark
Ammomanes cinctura	Allodola del deserto minore	Sandlerche	Ammomane élégante	Terrera Colinegra	Calhandra-das-dunas	Bar-tailed Lark
Eremophila alpestris	Allodola golagialla	Ohrenlerche	Alouette hausse-col	Alondra Cornuda	Cotovia-cornuda	Horned Lark
Eremophila alpestris [penicillata Group]		Ohrenlerche	Alouette hausse-col [penicillata]			Horned Lark (Black-necklaced)
Eremophila alpestris brandti		Ohrenlerche	Alouette hausse-col (brandti)			Horned Lark (Brandt's)
Eremophila alpestris flava		Ohrenlerche	Alouette hausse-col (Asie)			Horned Lark (Shore)
Eremophila alpestris [alpestris Group]	Allodola golagialla	Ohrenlerche	Alouette hausse-col	Alondra Cornuda	Cotovia-cornuda	Horned Lark (Eastern dark Group)
Eremophila bilopha	Allodola di Temminck	Saharaohrenlerche	Alouette bilophe	Alondra Sahariana	Calhandra-cornuda-do-deserto	Temminck's Lark
Eremophila alpestris/bilopha	Allodola golagialla	Ohrenlerche	Alouette hausse-col, A. de Przewalski ou A. bilophe	Alondra Cornuda	Cotovia-cornuda	Horned/Temminck's Lark
Calandrella brachydactyla	Calandrella	Kurzzehenlerche	Alouette calandrelle	Terrera Común	calhandrinha	Greater Short-toed Lark
Calandrella brachydactyla/dukhunensis	Calandrella	Kurzzehenlerche	Alouette calandrelle	Terrera Común	Calhandrinha-comum	Greater/Sykes's Short-toed Lark
Calandrella brachydactyla/acutirostris			Alouette calandrelle ou A. de Hume			Greater Short-toed/Hume's Lark
Melanocorypha bimaculata	Calandra asiatica	Bergkalanderlerche	Alouette monticole	Calandria Bimaculada	Calhandra-bastarda	Bimaculated Lark
Melanocorypha calandra	Calandra	Kalanderlerche	Alouette calandre	Calandria Común	Calhandra-comum	Calandra Lark
Melanocorypha yeltoniensis	Calandra nera	Mohrenlerche	Alouette nègre	Calandria Negra	Calhandra-preta	Black Lark
Chersophilus duponti	Allodola di Dupont	Dupontlerche	Alouette de Dupont	Alondra Ricotí	Calhandra de Dupont	Dupont's Lark
Alaudala cheleensis	Calandrina della Mongolia	Salzlerche	Alouette de Swinhoe	Terrera de Mongolia	calhandrinha-asiática	Asian Short-toed Lark
Alaudala rufescens	Calandrina	Stummellerche	Alouette pispolette	Terrera marismeña	calhandrinha-das-marismas	Lesser Short-toed Lark
Calandrella brachydactyla/Alaudala cheleensis/rufescens			Alouette calandrelle, A. pispolette ou A. de Swinhoe			Greater/Asian/Lesser Short-toed Lark
Calandrella brachydactyla/Alaudala rufescens			Alouette calandrelle ou A. pispolette			Greater/Lesser Short-toed Lark
Alaudala cheleensis/rufescens	Calandrina	Stummellerche	Alouette pispolette	Terrera Marismeña	Calhandrinha-das-marismas	Asian/Lesser Short-toed Lark
Lullula arborea	Tottavilla	Heidelerche	Alouette lulu	Alondra Totovía	Cotovia-pequena	Wood Lark
Alauda leucoptera	Calandra siberiana	Weißflügellerche	Alouette leucoptère	Calandria Aliblanca	Calhandra-ruiva	White-winged Lark
Alauda arvensis	Allodola	Feldlerche	Alouette des champs	Alondra Común	Laverca	Eurasian Skylark
Alauda arvensis [arvensis Group]	Allodola	Feldlerche	Alouette des champs	Alondra de Eurasia	Laverca	Eurasian Skylark (European)
Alauda arvensis [pekinensis Group]			Alouette du Japon [pekinensis]			Eurasian Skylark (Asian)
Alauda gulgula	Allodola orientale	Orientfeldlerche	Alouette gulgule	Alondra Oriental	Laverca-oriental	Oriental Skylark
Alauda arvensis/gulgula			Alouette des champs ou A. gulgule			Eurasian/Oriental Skylark
Galerida theklae	Cappellaccia di Thekla	Theklalerche	Cochevis de Thékla	Cogujada Montesina	Cotovia-montesina	Thekla's Lark
Galerida cristata	Cappellaccia	Haubenlerche	Cochevis huppé	Cogujada Común	Cotovia-de-poupa	Crested Lark
Galerida theklae/cristata			Cochevis de Thékla ou C. huppé			Thekla's/Crested Lark
Galerida cristata/macrorhyncha	Cappellaccia	Haubenlerche	Cochevis huppé	Cogujada Común	Cotovia-de-poupa	Crested/Maghreb Lark
Galerida theklae/cristata/macrorhyncha			Cochevis huppé ou C. de Thékla			Thekla's/Crested/Maghreb Lark
Alaudidae sp.			Alaudidae sp.			lark sp.
Panurus biarmicus	Basettino	Bartmeise	Panure à moustaches	Bigotudo	Chapim-de-bigode	Bearded Reedling
Prinia gracilis	Prinia gracile	Streifenprinie	Prinia gracile	Prinia Grácil	Fuinha-elegante	Graceful Prinia
Cisticola juncidis	Beccamoschino	Zistensänger	Cisticole des joncs	Cistícola Buitrón	Fuinha-dos-juncos	Zitting Cisticola
Cisticola juncidis [juncidis Group]			Cisticole des joncs [juncidis]			Zitting Cisticola (Zitting)
Arundinax aedon	Canapino beccoforte	Dickschnabel-Rohrsänger	Rousserolle à gros bec	Carricero Picogordo	Felosa-de-bico-grosso	Thick-billed Warbler
Iduna caligata	Canapino asiatico	Buschspötter	Hypolaïs bottée	Zarcero Escita	Felosa-cítica	Booted Warbler
Iduna rama	Canapino di Sykes	Steppenspötter	Hypolaïs rama	Zarcero de Sykes		Sykes's Warbler
Iduna caligata/rama	Canapino asiatico	Buschspötter	Hypolaïs bottée	Zarcero Escita	Felosa-cítica	Booted/Sykes's Warbler
Iduna pallida	Canapino pallido orientale	Blaßspötter	Hypolaïs pâle	Zarcero Pálido	Felosa-pálida	Eastern Olivaceous Warbler
Iduna opaca	Canapino pallido occidentale	Isabellspötter	Hypolaïs obscure	Zarcero Bereber		Western Olivaceous Warbler
Iduna pallida/opaca	Canapino pallido	Blaßspötter	Hypolaïs pâle	Zarcero Pálido	Felosa-pálida	Eastern/Western Olivaceous Warbler
Iduna sp.			Iduna sp.			Iduna sp.
Hippolais languida	Canapino di Upcher	Dornspötter	Hypolaïs d'Upcher	Zarcero Lánguido	Felosa de Upcher	Upcher's Warbler
Hippolais olivetorum	Canapino levantino	Olivenspötter	Hypolaïs des oliviers	Zarcero Grande	Felosa-das-oliveiras	Olive-tree Warbler
