LAT	IT	DE	FR	ES	PT	EN
Upupa epops [epops Group]	Upupa	Wiedehopf	Huppe fasciée	Abubilla	Poupa	Eurasian Hoopoe (Eurasian)
Upupa epops senegalensis/waibeli	Upupa del Centrafrica		Huppe du Sénégal			Eurasian Hoopoe (Central African)
Upupa epops africana	Upupa africana	Afrikanischer Hopf	Huppe d'Afrique	Abubilla Africana	Poupa	Eurasian Hoopoe (African)
Alcedo atthis	Martin pescatore	Eisvogel	Martin-pêcheur d'Europe	Martín Pescador Común	Guarda-rios-comum	Common Kingfisher
Alcedo atthis [atthis Group]		Eisvogel-atthis	Martin-pêcheur d'Europe [atthis]			Common Kingfisher (Common)
Halcyon smyrnensis	Martin pescatore di Smirne	Braunliest	Martin-chasseur de Smyrne	Alción de Esmirna	Guarda-rios-de-papo-branco	White-throated Kingfisher
Megaceryle alcyon	Martin pescatore americano	Gürtelfischer	Martin-pêcheur d'Amérique	Martín Gigante Norteamericano	Guarda-rios-de-crista	Belted Kingfisher
Ceryle rudis	Martin pescatore bianco e nero	Graufischer	Martin-pêcheur pie	Martín Pescador Pío	Guarda rios malhados	Pied Kingfisher
Merops orientalis	Gruccione verde piccolo	Asiensmaragdspint	Guêpier d'Orient	Abejaruco esmeralda oriental	Abelharuco-verde	Green Bee-eater
Merops orientalis cyanophrys/najdanus		Arabiensmaragdspint	Guêpier à sourcils bleus	Abejaruco esmeralda árabe		Green Bee-eater (Arabian)
Merops orientalis [orientalis Group]	Gruccione verde piccolo	Asiensmaragdspint	Guêpier d'Orient	Abejaruco esmeralda oriental	Abelharuco-verde	Green Bee-eater (Russet-crowned)
Merops persicus	Gruccione egiziano	Blauwangenspint	Guêpier de Perse	Abejaruco Persa	Abelharuco-de-garganta-vermelha	Blue-cheeked Bee-eater
Merops apiaster	Gruccione	Bienenfresser	Guêpier d'Europe	Abejaruco Europeo	Abelharuco-comum	European Bee-eater
Coracias garrulus	Ghiandaia marina	Blauracke	Rollier d'Europe	Carraca Europea	Rolieiro-comum	European Roller
Coracias abyssinicus	Ghiandaia marina abissina	Senegalracke	Rollier d'Abyssinie	Carraca Abisinia	Rolieiro da Abissínia	Abyssinian Roller
Coracias sp.			Coracias sp.			roller sp.
Jynx torquilla	Torcicollo	Wendehals	Torcol fourmilier	Torcecuello Euroasiático	Torcicolo	Eurasian Wryneck
Sphyrapicus varius	Picchio ventregiallo	Gelbbauch-Saftlecker	Pic maculé	Chupasavia Norteño	Pica-pau-de-barriga-amarela	Yellow-bellied Sapsucker
Picoides tridactylus	Picchio tridattilo	Dreizehenspecht	Pic tridactyle	Pico tridáctilo	Pica-pau-tridáctilo	Eurasian Three-toed Woodpecker
Picoides tridactylus [tridactylus Group]	Picchio tridattilo	Dreizehenspecht	Pic tridactyle [tridactylus]			Eurasian Three-toed Woodpecker (Eurasian)
Dendrocoptes medius	Picchio rosso mezzano	Mittelspecht	Pic mar	Pico Mediano	Pica-pau-mediano	Middle Spotted Woodpecker
Dendrocopos leucotos	Picchio dorsobianco	Weißrückenspecht	Pic à dos blanc	Pico Dorsiblanco	Pica-pau-de-dorso-branco	White-backed Woodpecker
Dendrocopos leucotos lilfordi		Weissrückenspecht-lilfordi	Pic de Lilford			White-backed Woodpecker (Lilford's)
Dendrocopos leucotos [leucotos Group]	Picchio dorsobianco	Weißrückenspecht	Pic à dos blanc	Pico Dorsiblanco	Pica-pau-de-dorso-branco	White-backed Woodpecker (White-backed)
Dendrocopos major	Picchio rosso maggiore	Buntspecht	Pic épeiche	Pico Picapinos	Pica-pau-malhado-grande	Great Spotted Woodpecker
Dendrocopos major [major Group]	Picchio rosso maggiore	Buntspecht	Pic épeiche [major]	Pico picapinos		Great Spotted Woodpecker (Great Spotted)
Dendrocopos major canariensis/thanneri	Picchio rosso maggiore di Teneriffa 	Teneriffa Buntspecht	Pic épeiche [canariensis ou thanneri]	Pico picapinos de Tenerife		Great Spotted Woodpecker (Canarian)
Dendrocopos major numidus/mauritanus	Picchio rosso maggiore dell'Algeria	Grosser Specht	Pic épeiche [numidus ou mauritanus]			Great Spotted Woodpecker (Atlas)
Dendrocopos syriacus	Picchio rosso di Siria	Blutspecht	Pic syriaque	Pico Sirio	Pica-pau-sírio	Syrian Woodpecker
Dendrocopos major x syriacus			Hybride Pic épeiche x P. syriaque			Great Spotted x Syrian Woodpecker (hybrid)
Dendrocopos major/syriacus	Picchio rosso maggiore	Buntspecht	Pic épeiche	Pico Picapinos	Pica-pau-malhado-grande	Great Spotted/Syrian Woodpecker
Dendrocopos sp.			Dendrocopos sp.			Dendrocopos sp.
Dryobates minor	Picchio rosso minore	Kleinspecht	Pic épeichette	Pico Menor	Pica-pau-malhado-pequeno	Lesser Spotted Woodpecker
Picus canus	Picchio cenerino	Grauspecht	Pic cendré	Pito Cano	Pica-pau-cinzento	Gray-headed Woodpecker
Picus canus canus/jessoensis	Picchio cenerino	Grauspecht	Pic cendré	Pito Cano	Pica-pau-cinzento	Gray-headed Woodpecker (Gray-headed)
Picus viridis	Picchio verde	Grünspecht	Pic vert	Pito real euroasiático	Pica-pau-verde	Eurasian Green Woodpecker
Picus viridis viridis/karelini	Picchio verde europeo	Grünspecht-viridis	Pic vert [viridis]			Eurasian Green Woodpecker (Eurasian)
Picus canus x viridis			Hybride Pic vert x P. cendré			Gray-headed x Eurasian Green Woodpecker (hybrid)
Picus sharpei	Picchio di Sharpe	Iberiengrünspecht	Pic de Sharpe	Pito real ibérico		Iberian Green Woodpecker
Picus viridis x sharpei			Pic vert			Eurasian x Iberian Green Woodpecker (hybrid)
Picus viridis/sharpei	Picchio verde	Grünspecht	Pic vert	Pito Real	Pica-pau-verde	Eurasian/Iberian Green Woodpecker
Picus sp.			Picus sp.			Picus sp.
Dryocopus martius	Picchio nero	Schwarzspecht	Pic noir	Picamaderos Negro	Pica-pau-preto	Black Woodpecker
Colaptes auratus	Picchio aurato	Ostgoldspecht	Pic flamboyant	Carpintero escapulario dorado	Pica-pau-mosqueado	Northern Flicker
Colaptes auratus auratus/luteus	Picchio dorato	Goldspecht	Pic doré	Carpintero Alirrojo		Northern Flicker (Yellow-shafted)
Colaptes auratus/chrysoides	Picchio dorato	Goldspecht	Pic flamboyant	Carpintero de Cañones Amarillos	Pica-pau-mosqueado	Northern/Gilded Flicker
Picidae sp.			Pic sp.			woodpecker sp.
Falco naumanni	Grillaio	Rötelfalke	Faucon crécerellette	Cernícalo Primilla	Peneireiro-das-torres	Lesser Kestrel
Falco tinnunculus	Gheppio	Turmfalke	Faucon crécerelle	Cernícalo vulgar	peneireiro-de-dorso-malhado / peneireiro	Eurasian Kestrel
Falco tinnunculus [tinnunculus Group]	Gheppio comune	Turmfalke	Faucon crécerelle	Cernícalo Vulgar	Peneireiro-vulgar	Eurasian Kestrel (Eurasian)
Falco tinnunculus canariensis/dacotiae	Gheppio	Turmfalke-canariensis	Faucon crécerelle [canariensis ou dacotiae]			Eurasian Kestrel (Canary Is.)
Falco naumanni/tinnunculus			Faucon crécerellette ou F. crécerelle			Lesser/Eurasian Kestrel
Falco tinnunculus/rupicolus	Gheppio	Turmfalke	Faucon crécerelle	Cernícalo Vulgar	Peneireiro-vulgar	Eurasian/Rock Kestrel
Falco sparverius	Gheppio americano	Buntfalke	Crécerelle d'Amérique	Cernícalo Americano	Quiriquiri	American Kestrel
